iter	RMSE
0	7.8320558
1	7.487303376
2	7.174317604
3	6.874907397
4	6.588933858
5	6.312352128
6	6.056727992
7	5.820205613
8	5.596247381
9	5.382349519
10	5.179003772
11	4.982592306
12	4.794786215
13	4.619503126
14	4.449294224
15	4.294523398
16	4.153114285
17	4.014822657
18	3.881809105
19	3.762671223
20	3.648763965
21	3.542709563
22	3.441463314
23	3.349920052
24	3.258460234
25	3.173422057
26	3.095984353
27	3.024650576
28	2.955380571
29	2.888831778
30	2.829305254
31	2.771172237
32	2.72003429
33	2.673129178
34	2.626622551
35	2.585017967
36	2.546221551
37	2.5080976
38	2.476040461
39	2.446250843
40	2.415738579
41	2.387273608
42	2.363416542
43	2.340198538
44	2.316125253
45	2.294395245
46	2.274919579
47	2.256121126
48	2.23934047
49	2.223651923
50	2.207977706
51	2.192076587
52	2.179215824
53	2.167423905
54	2.155933753
55	2.145316039
56	2.133623833
57	2.123280919
58	2.114540843
59	2.106496507
60	2.097998517
61	2.090616406
62	2.083758448
63	2.076870749
64	2.070321593
65	2.063815686
66	2.057104018
67	2.050727474
68	2.045150892
69	2.040523405
70	2.035215149
71	2.030358327
72	2.025232706
73	2.021060566
74	2.016732782
75	2.012451454
76	2.008221052
77	2.004814177
78	2.001071657
79	1.997038056
80	1.993658887
81	1.990038318
82	1.986344628
83	1.983064484
84	1.979524751
85	1.976513138
86	1.973400297
87	1.96970072
88	1.966505063
89	1.963556431
90	1.960821885
91	1.957824458
92	1.955516022
93	1.953428838
94	1.951131648
95	1.948767191
96	1.94612376
97	1.943758032
98	1.941294744
99	1.938839078
100	1.936493968
101	1.934855746
102	1.93292482
103	1.930680382
104	1.928803697
105	1.926963174
106	1.92481003
107	1.922401312
108	1.919787766
109	1.916949758
110	1.914468354
111	1.912770845
112	1.910876156
113	1.909306262
114	1.907693818
115	1.905674749
116	1.903564582
117	1.901917768
118	1.900318562
119	1.898645856
120	1.897023655
121	1.895598971
122	1.893903846
123	1.891549974
124	1.889696739
125	1.887838602
126	1.886253112
127	1.884080062
128	1.882369446
129	1.880491262
130	1.878870918
131	1.877533906
132	1.876025605
133	1.874213104
134	1.872417298
135	1.870712065
136	1.869396447
137	1.867909927
138	1.866520662
139	1.864706418
140	1.862519173
141	1.861094331
142	1.859311746
143	1.857957826
144	1.856732504
145	1.855692725
146	1.854130265
147	1.852415702
148	1.851403825
149	1.850357188
150	1.848600417
151	1.847566224
152	1.846404196
153	1.844490111
154	1.843643211
155	1.842615452
156	1.841697503
157	1.84045632
158	1.838972712
159	1.837555606
160	1.83643555
161	1.835127106
162	1.834021439
163	1.832387289
164	1.830626644
165	1.829357599
166	1.828044834
167	1.826635544
168	1.8254671
169	1.824330568
170	1.823011163
171	1.822029627
172	1.821305664
173	1.819912304
174	1.818589879
175	1.816524714
176	1.81544962
177	1.813971526
178	1.812644678
179	1.811167132
180	1.809886647
181	1.808533101
182	1.8071777
183	1.806029281
184	1.805372322
185	1.804387007
186	1.8030152
187	1.801668323
188	1.800346417
189	1.798856232
190	1.797541559
191	1.796447601
192	1.795449344
193	1.794430401
194	1.793037126
195	1.791601033
196	1.790287888
197	1.789266878
198	1.787982356
199	1.786847494
