iter	Passed	Remaining
0	6	1226
1	11	1155
2	17	1131
3	22	1126
4	28	1115
5	34	1101
6	39	1094
7	45	1090
8	51	1091
9	57	1084
10	63	1082
11	68	1075
12	73	1057
13	79	1058
14	85	1052
15	91	1052
16	97	1047
17	103	1044
18	109	1039
19	115	1036
20	120	1028
21	126	1026
22	132	1020
23	138	1013
24	144	1008
25	149	1001
26	155	998
27	162	995
28	167	989
29	173	983
30	179	977
31	184	970
32	190	962
33	195	956
34	201	949
35	206	941
36	211	933
37	217	927
38	223	922
39	228	915
40	234	910
41	240	903
42	245	897
43	251	892
44	257	887
45	263	883
46	269	876
47	274	868
48	279	862
49	285	857
50	291	851
51	297	845
52	303	841
53	309	835
54	314	829
55	320	824
56	325	816
57	330	810
58	336	804
59	341	796
60	346	789
61	352	783
62	357	777
63	363	772
64	369	767
65	374	760
66	379	754
67	385	748
68	391	742
69	396	737
70	402	731
71	409	727
72	414	721
73	420	715
74	425	709
75	431	704
76	438	700
77	444	694
78	449	688
79	456	684
80	461	678
81	467	672
82	472	666
83	477	659
84	482	653
85	488	647
86	493	640
87	498	635
88	504	629
89	510	624
90	519	621
91	526	618
92	534	615
93	541	610
94	546	604
95	552	598
96	558	593
97	564	587
98	569	581
99	575	575
100	580	569
101	585	562
102	591	556
103	596	550
104	602	544
105	607	539
106	613	533
107	619	527
108	625	522
109	632	517
110	638	512
111	644	506
112	652	502
113	658	496
114	664	490
115	669	484
116	675	479
117	681	473
118	687	468
119	693	462
120	699	456
121	704	450
122	710	444
123	716	439
124	722	433
125	728	427
126	734	421
127	739	416
128	745	410
129	750	404
130	756	398
131	760	391
132	766	386
133	773	380
134	779	375
135	784	369
136	790	363
137	796	357
138	801	351
139	806	345
140	811	339
141	816	333
142	821	327
143	827	321
144	832	315
145	838	310
146	843	304
147	848	298
148	855	292
149	860	286
150	866	281
151	879	277
152	887	272
153	894	267
154	901	261
155	907	255
156	913	250
157	919	244
158	925	238
159	930	232
160	936	226
161	941	220
162	947	215
163	953	209
164	958	203
165	964	197
166	969	191
167	975	185
168	980	179
169	986	174
170	991	168
171	997	162
172	1002	156
173	1008	150
174	1014	144
175	1020	139
176	1027	133
177	1032	127
178	1038	121
179	1044	116
180	1050	110
181	1056	104
182	1063	98
183	1068	92
184	1074	87
185	1080	81
186	1086	75
187	1091	69
188	1097	63
189	1103	58
190	1108	52
191	1114	46
192	1119	40
193	1125	34
194	1130	28
195	1136	23
196	1141	17
197	1147	11
198	1152	5
199	1158	0
