time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-01-01 00:00:00,0.8,-0.1,94.0,,,170.0,5.4,,1032.5,,
2020-01-01 01:00:00,-0.7,-1.3,96.0,0.0,,200.0,9.4,,1032.2,,
2020-01-01 02:00:00,-0.3,-0.6,98.0,0.0,,190.0,7.6,,1032.2,,
2020-01-01 03:00:00,0.0,-0.3,98.0,,,220.0,5.4,,1031.9,,
2020-01-01 04:00:00,0.3,0.0,98.0,0.0,,210.0,7.6,,1031.6,,
2020-01-01 05:00:00,0.5,0.2,98.0,0.0,,170.0,3.6,,1031.9,,
2020-01-01 06:00:00,0.7,0.4,98.0,,,160.0,5.4,,1031.9,,
2020-01-01 07:00:00,0.8,0.5,98.0,0.0,,170.0,11.2,,1031.9,,
2020-01-01 08:00:00,1.0,0.7,98.0,0.0,,160.0,11.2,,1032.2,,
2020-01-01 09:00:00,1.4,1.3,99.0,,,160.0,11.2,,1032.5,,
2020-01-01 10:00:00,2.0,1.9,99.0,0.0,,170.0,7.6,,1032.6,,
2020-01-01 11:00:00,2.8,2.5,98.0,0.0,,170.0,5.4,,1032.5,,
2020-01-01 12:00:00,3.0,2.7,98.0,,,140.0,5.4,,1031.7,,
2020-01-01 13:00:00,3.4,3.3,99.0,0.0,,160.0,7.6,,1030.9,,
2020-01-01 14:00:00,3.7,3.4,98.0,0.0,,160.0,7.6,,1030.6,,
2020-01-01 15:00:00,4.0,3.7,98.0,,,140.0,7.6,,1030.5,,
2020-01-01 16:00:00,4.1,3.8,98.0,,,140.0,7.6,,1030.6,,
2020-01-01 17:00:00,4.3,4.0,98.0,,,140.0,7.6,,1030.7,,
2020-01-01 18:00:00,4.5,4.2,98.0,,,140.0,7.6,,1030.6,,
2020-01-01 19:00:00,4.5,4.4,99.0,,,140.0,7.6,,1030.7,,
2020-01-01 20:00:00,4.6,4.3,98.0,,,160.0,7.6,,1030.2,,
2020-01-01 21:00:00,4.5,4.2,98.0,,,160.0,9.4,,1029.9,,
2020-01-01 22:00:00,4.4,4.1,98.0,,,160.0,11.2,,1029.8,,
2020-01-01 23:00:00,4.4,4.1,98.0,0.0,,150.0,7.6,,1029.4,,
2020-01-02 00:00:00,4.4,4.3,99.0,,,150.0,7.6,,1028.7,,
2020-01-02 01:00:00,4.5,4.2,98.0,0.4,,140.0,7.6,,1028.2,,
2020-01-02 02:00:00,4.6,4.5,99.0,0.2,,120.0,7.6,,1028.0,,
2020-01-02 03:00:00,4.8,4.7,99.0,,,140.0,5.4,,1027.7,,
2020-01-02 04:00:00,5.1,5.0,99.0,0.0,,130.0,5.4,,1027.2,,
2020-01-02 05:00:00,5.3,5.2,99.0,0.4,,130.0,5.4,,1027.0,,
2020-01-02 06:00:00,5.6,5.5,99.0,,,150.0,5.4,,1026.9,,
2020-01-02 07:00:00,6.1,6.0,99.0,,,200.0,3.6,,1027.1,,
2020-01-02 08:00:00,6.4,6.3,99.0,,,200.0,3.6,,1027.1,,
2020-01-02 09:00:00,6.8,6.7,99.0,,,200.0,5.4,,1027.1,,
2020-01-02 10:00:00,7.5,7.4,99.0,0.0,,210.0,11.2,,1027.4,,
2020-01-02 11:00:00,8.3,7.9,97.0,0.0,,210.0,9.4,,1027.0,,
2020-01-02 12:00:00,8.5,8.1,97.0,,,220.0,9.4,,1026.5,,
2020-01-02 13:00:00,9.0,8.5,97.0,,,220.0,7.6,,1025.7,,
2020-01-02 14:00:00,9.0,7.8,92.0,0.0,,220.0,11.2,,1025.1,,
2020-01-02 15:00:00,8.8,7.6,92.0,,,200.0,9.4,,1024.8,,
2020-01-02 16:00:00,8.6,7.4,92.0,0.0,,210.0,11.2,,1025.0,,
2020-01-02 17:00:00,8.8,7.7,93.0,0.0,,200.0,7.6,,1025.1,,
2020-01-02 18:00:00,8.9,7.7,92.0,,,210.0,11.2,,1024.8,,
2020-01-02 19:00:00,9.0,7.8,92.0,0.0,,200.0,9.4,,1024.6,,
2020-01-02 20:00:00,9.0,7.9,93.0,0.0,,200.0,11.2,,1024.3,,
2020-01-02 21:00:00,9.1,7.9,92.0,,,210.0,7.6,,1024.2,,
2020-01-02 22:00:00,9.2,7.5,89.0,0.0,,220.0,13.0,,1024.0,,
2020-01-02 23:00:00,9.2,7.3,88.0,0.0,,220.0,14.8,,1024.1,,
2020-01-03 00:00:00,9.2,7.1,87.0,,,220.0,14.8,,1023.9,,
2020-01-03 01:00:00,9.0,7.0,87.0,0.0,,220.0,11.2,,1023.2,,
2020-01-03 02:00:00,8.7,6.5,86.0,0.0,,210.0,13.0,,1022.8,,
2020-01-03 03:00:00,8.5,6.1,85.0,,,210.0,13.0,,1022.2,,
2020-01-03 04:00:00,8.6,6.2,85.0,0.2,,220.0,24.1,,1021.9,,
2020-01-03 05:00:00,8.7,6.5,86.0,0.0,,200.0,11.2,,1021.8,,
2020-01-03 06:00:00,8.8,7.4,91.0,,,220.0,18.4,,1021.8,,
2020-01-03 07:00:00,8.9,7.7,92.0,,,230.0,16.6,,1022.3,,
2020-01-03 08:00:00,9.1,8.0,93.0,,,220.0,14.8,,1022.8,,
2020-01-03 09:00:00,9.6,8.7,94.0,,,220.0,18.4,,1023.1,,
2020-01-03 10:00:00,10.4,8.7,89.0,0.0,,240.0,13.0,,1023.6,,
2020-01-03 11:00:00,11.3,8.3,82.0,0.0,,250.0,13.0,,1023.8,,
2020-01-03 12:00:00,12.1,8.2,77.0,,,260.0,20.5,,1023.8,,
2020-01-03 13:00:00,11.2,9.1,87.0,,,260.0,13.0,,1023.9,,
2020-01-03 14:00:00,11.8,8.6,81.0,0.2,,270.0,14.8,,1024.3,,
2020-01-03 15:00:00,11.5,8.5,82.0,,,270.0,18.4,,1024.9,,
2020-01-03 16:00:00,11.1,8.5,84.0,,,260.0,14.8,,1025.6,,
2020-01-03 17:00:00,11.3,8.3,82.0,0.0,,260.0,13.0,,1026.2,,
2020-01-03 18:00:00,10.9,9.3,90.0,,,290.0,11.2,,1027.4,,
2020-01-03 19:00:00,10.7,8.5,86.0,,,330.0,18.4,,1028.6,,
2020-01-03 20:00:00,9.4,7.2,86.0,,,350.0,20.5,,1029.8,,
2020-01-03 21:00:00,9.0,6.3,83.0,,,360.0,16.6,,1031.0,,
2020-01-03 22:00:00,8.6,6.1,84.0,0.0,,360.0,18.4,,1032.1,,
2020-01-03 23:00:00,8.1,5.2,82.0,0.0,,10.0,11.2,,1032.9,,
2020-01-04 00:00:00,7.9,4.8,81.0,,,360.0,18.4,,1033.3,,
2020-01-04 01:00:00,6.8,2.5,74.0,0.0,,350.0,13.0,,1033.4,,
2020-01-04 02:00:00,6.5,2.8,77.0,0.0,,340.0,5.4,,1034.1,,
2020-01-04 03:00:00,6.3,3.3,81.0,,,330.0,9.4,,1034.4,,
2020-01-04 04:00:00,6.0,3.2,82.0,0.0,,320.0,7.6,,1034.7,,
2020-01-04 05:00:00,5.5,2.7,82.0,0.0,,310.0,7.6,,1035.5,,
2020-01-04 06:00:00,5.0,2.5,84.0,,,280.0,7.6,,1035.5,,
2020-01-04 07:00:00,4.5,2.7,88.0,0.0,,270.0,5.4,,1036.2,,
2020-01-04 08:00:00,4.3,2.2,86.0,0.0,,270.0,7.6,,1036.2,,
2020-01-04 09:00:00,4.9,2.4,84.0,,,290.0,9.4,,1036.7,,
2020-01-04 10:00:00,6.3,2.9,79.0,0.0,,290.0,9.4,,1037.0,,
2020-01-04 11:00:00,7.1,3.7,79.0,0.0,,290.0,9.4,,1036.5,,
2020-01-04 12:00:00,8.4,3.8,73.0,,,300.0,13.0,,1036.5,,
2020-01-04 13:00:00,8.7,4.3,74.0,0.0,,310.0,13.0,,1036.1,,
2020-01-04 14:00:00,9.1,3.7,69.0,0.0,,320.0,11.2,,1036.1,,
2020-01-04 15:00:00,9.1,3.5,68.0,,,310.0,11.2,,1036.3,,
2020-01-04 16:00:00,9.0,3.8,70.0,0.0,,310.0,9.4,,1036.4,,
2020-01-04 17:00:00,8.6,4.2,74.0,0.0,,290.0,7.6,,1036.4,,
2020-01-04 18:00:00,8.6,4.6,76.0,,,290.0,7.6,,1036.8,,
2020-01-04 19:00:00,8.6,4.6,76.0,0.0,,270.0,9.4,,1037.1,,
2020-01-04 20:00:00,8.6,4.2,74.0,0.0,,310.0,9.4,,1037.1,,
